DATE,MSCI World (Net-EUR),MSCI Japan (Net-EUR)
12/31/2010,100.000,100.000
1/31/2011,100.063,97.976
2/28/2011,102.802,101.687
3/31/2011,99.069,89.879
4/30/2011,98.788,86.285
5/31/2011,99.834,87.596
6/30/2011,97.424,88.129
7/31/2011,96.514,92.065
8/31/2011,89.539,84.418
9/30/2011,87.786,89.101
10/31/2011,93.179,85.497
11/30/2011,94.190,84.675
12/31/2011,97.618,88.533
1/31/2012,101.663,91.765
2/29/2012,104.345,94.332
3/31/2012,106.163,96.024
4/30/2012,105.604,93.531
5/31/2012,103.285,91.182
6/30/2012,105.760,93.406
7/31/2012,110.381,93.952
8/31/2012,110.580,91.127
9/30/2012,111.322,91.362
10/31/2012,109.776,89.008
11/30/2012,110.771,90.785
12/31/2012,111.331,94.304
1/31/2013,113.640,94.958
2/28/2013,118.185,101.221
3/31/2013,123.143,108.087
4/30/2013,123.717,114.508
5/31/2013,125.903,109.889
6/30/2013,122.437,111.478
7/31/2013,126.165,109.786
8/31/2013,124.346,108.177
9/30/2013,127.183,114.179
10/31/2013,131.594,113.686
11/30/2013,133.731,115.203
12/31/2013,134.935,114.737
1/31/2014,132.770,112.716
2/28/2014,136.126,109.465
3/31/2014,136.609,108.282
4/30/2014,137.183,104.855
5/31/2014,142.138,110.855
6/30/2014,144.194,116.259
7/31/2014,145.196,119.655
8/31/2014,150.739,118.905
9/30/2014,152.910,123.102
10/31/2014,155.172,122.501
11/30/2014,159.075,123.493
12/31/2014,161.244,125.403
1/31/2015,169.771,137.612
2/28/2015,180.806,146.847
3/31/2015,185.873,155.713
4/30/2015,182.329,154.529
5/31/2015,186.996,159.999
6/30/2015,179.722,154.736
7/31/2015,184.496,156.780
8/31/2015,169.881,145.606
9/30/2015,164.237,136.220
10/31/2015,179.113,151.540
11/30/2015,186.406,156.916
12/31/2015,178.047,153.056
1/31/2016,168.054,141.017
2/29/2016,166.112,136.582
3/31/2016,169.134,136.391
4/30/2016,170.940,142.009
5/31/2016,176.857,144.586
6/30/2016,175.238,141.315
7/31/2016,181.448,149.492
8/31/2016,182.333,150.670
9/30/2016,181.662,151.713
10/31/2016,182.631,157.585
11/30/2016,191.440,158.917
12/31/2016,197.145,161.379
1/31/2017,197.055,163.363
2/28/2017,205.972,168.005
3/31/2017,206.813,166.298
4/30/2017,206.137,165.049
5/31/2017,203.842,164.639
6/30/2017,201.748,164.044
7/31/2017,199.839,161.905
8/31/2017,198.454,160.474
9/30/2017,204.058,164.546
10/31/2017,210.993,174.680
11/30/2017,210.611,175.771
12/31/2017,211.957,175.751
1/31/2018,215.097,177.173
2/28/2018,210.598,178.240
3/31/2018,204.300,173.029
4/30/2018,210.350,177.305
5/31/2018,219.085,181.710
6/30/2018,218.933,177.095
7/31/2018,225.289,177.422
8/31/2018,229.361,178.816
9/30/2018,231.035,184.565
10/31/2018,219.446,173.202
11/30/2018,222.095,174.009
12/31/2018,203.250,160.836
1/31/2019,218.244,170.007
2/28/2019,226.533,171.258
3/31/2019,232.749,174.657
4/30/2019,241.465,177.420
5/31/2019,228.828,171.364
6/30/2019,238.670,173.961
7/31/2019,245.324,178.178
8/31/2019,242.958,178.318
9/30/2019,250.642,187.406
10/31/2019,251.158,192.018
11/30/2019,261.208,195.382
12/31/2019,264.264,195.920
1/31/2020,266.044,195.748
2/29/2020,245.719,179.426
3/31/2020,213.433,166.783
4/30/2020,237.170,176.085
5/31/2020,244.817,183.653
6/30/2020,248.876,181.862
7/31/2020,247.694,169.992
8/31/2020,261.271,180.874
9/30/2020,257.270,186.273
10/31/2020,251.048,184.523
11/30/2020,275.728,202.136
12/31/2020,280.992,205.773
1/31/2021,280.181,205.163
2/28/2021,287.621,208.460
3/31/2021,306.925,217.574
4/30/2021,313.605,209.189
5/31/2021,313.218,209.169
6/30/2021,327.738,215.024
7/31/2021,333.637,212.320
8/31/2021,343.490,219.829
9/30/2021,335.335,230.066
10/31/2021,354.850,222.654
11/30/2021,356.833,223.272
12/31/2021,368.289,225.180
1/31/2022,353.844,216.846
2/28/2022,344.218,214.001
3/31/2022,357.018,214.946
4/30/2022,345.264,206.742
5/31/2022,340.268,206.931
6/30/2022,318.463,195.301
7/31/2022,352.446,211.654
8/31/2022,354.329,210.457
