DATE,MSCI Japan (Net-EUR),MSCI Japan (Net-JPY)
12/31/2021,100.000,100.000
1/3/2022,100.582,100.000
1/4/2022,101.803,102.092
1/5/2022,102.341,102.584
1/6/2022,100.549,100.394
1/7/2022,100.114,100.315
1/10/2022,100.837,100.315
1/11/2022,99.771,99.771
1/12/2022,101.199,101.361
1/13/2022,100.827,100.703
1/14/2022,99.897,99.243
1/17/2022,99.972,99.783
1/18/2022,100.247,99.462
1/19/2022,97.355,96.437
1/20/2022,98.591,97.392
1/21/2022,98.192,96.708
1/24/2022,98.305,96.725
1/25/2022,96.909,95.065
1/26/2022,96.272,94.826
1/27/2022,93.982,92.372
1/28/2022,95.815,94.096
1/31/2022,96.299,94.985
2/1/2022,96.374,95.021
2/2/2022,98.261,96.964
2/3/2022,95.927,96.094
2/4/2022,95.848,96.539
2/7/2022,95.806,96.341
2/8/2022,95.883,96.659
2/9/2022,96.823,97.566
2/10/2022,96.596,98.084
2/11/2022,97.201,98.084
2/14/2022,96.504,96.307
2/15/2022,95.025,95.374
2/16/2022,96.884,97.051
2/17/2022,96.476,96.287
2/18/2022,96.213,95.946
2/21/2022,95.840,95.271
2/22/2022,94.126,93.742
2/23/2022,94.233,93.742
2/24/2022,94.281,92.499
2/25/2022,94.267,93.563
2/28/2022,95.036,93.882
3/1/2022,96.677,94.429
3/2/2022,94.784,92.586
3/3/2022,95.886,93.665
3/4/2022,95.893,91.805
3/7/2022,93.099,89.212
3/8/2022,91.249,87.618
3/9/2022,89.647,87.573
3/10/2022,93.393,91.126
3/11/2022,91.310,89.461
3/14/2022,91.016,90.061
3/15/2022,91.539,90.655
3/16/2022,92.686,92.199
3/17/2022,94.155,94.606
3/18/2022,94.676,95.193
3/21/2022,94.687,95.193
3/22/2022,95.134,96.618
3/23/2022,97.344,98.985
3/24/2022,96.700,99.213
3/25/2022,96.890,99.139
3/28/2022,95.427,98.755
3/29/2022,95.903,99.772
3/30/2022,95.577,99.422
3/31/2022,95.455,98.438
4/1/2022,94.920,98.279
4/4/2022,95.772,98.698
4/5/2022,95.570,98.424
4/6/2022,94.144,97.142
4/7/2022,92.659,95.678
4/8/2022,92.782,95.841
4/11/2022,91.438,95.509
4/12/2022,90.551,94.115
4/13/2022,91.675,95.473
4/14/2022,93.037,96.395
4/15/2022,92.526,95.866
4/18/2022,91.027,95.024
4/19/2022,90.241,95.763
4/20/2022,91.366,96.802
4/21/2022,91.623,97.502
4/22/2022,91.121,96.321
4/25/2022,90.696,94.836
4/26/2022,91.727,94.871
4/27/2022,91.200,93.993
4/28/2022,91.077,95.825
4/29/2022,91.812,95.825
5/2/2022,91.507,95.769
5/3/2022,91.602,95.768
5/4/2022,91.469,95.769
5/5/2022,91.439,95.769
5/6/2022,91.746,96.687
5/9/2022,90.229,94.689
5/10/2022,89.490,93.823
5/11/2022,88.884,93.262
5/12/2022,90.451,92.140
5/13/2022,91.460,93.922
5/16/2022,91.716,94.045
5/17/2022,90.582,94.202
5/18/2022,92.301,95.194
5/19/2022,91.025,93.771
5/20/2022,91.735,94.680
5/23/2022,91.881,95.568
5/24/2022,91.474,94.815
5/25/2022,91.303,94.826
5/26/2022,90.982,94.807
5/27/2022,91.629,95.264
5/30/2022,92.409,97.088
5/31/2022,91.896,96.707
6/1/2022,92.467,97.875
6/2/2022,91.548,97.276
6/3/2022,91.259,97.677
6/6/2022,91.101,97.949
6/7/2022,90.800,98.335
6/8/2022,90.704,99.480
6/9/2022,91.086,99.478
6/10/2022,90.913,98.134
6/13/2022,89.903,95.795
6/14/2022,88.344,94.548
6/15/2022,87.312,93.409
6/16/2022,88.517,94.049
6/17/2022,85.494,92.368
6/20/2022,84.350,91.597
6/21/2022,85.112,93.473
6/22/2022,84.854,93.278
6/23/2022,86.145,93.129
6/24/2022,86.198,93.852
6/27/2022,86.839,95.007
6/28/2022,87.710,95.963
6/29/2022,87.026,95.285
6/30/2022,86.731,94.066
7/1/2022,86.484,92.725
7/4/2022,87.012,94.019
7/5/2022,88.920,94.584
7/6/2022,88.414,93.376
7/7/2022,89.834,94.842
7/8/2022,89.923,95.053
7/11/2022,91.100,96.413
7/12/2022,90.458,94.870
7/13/2022,89.843,95.148
7/14/2022,89.726,95.349
7/15/2022,89.435,95.399
7/18/2022,88.777,95.399
7/19/2022,88.943,95.954
7/20/2022,91.215,98.225
7/21/2022,91.700,98.371
7/22/2022,92.814,98.644
7/25/2022,91.794,97.920
7/26/2022,92.570,97.839
7/27/2022,92.418,98.046
7/28/2022,94.100,98.183
7/29/2022,93.993,97.813
8/1/2022,95.506,98.769
8/2/2022,94.524,97.000
8/3/2022,93.675,97.384
8/4/2022,93.784,97.362
8/5/2022,93.462,98.194
,,
,,
,,
,,
,,
