date,S&P500 PER,TPX500 PER
28/12/12,12.45,13.77
25/01/13,13.30,14.09
22/02/13,13.32,14.07
29/03/13,13.68,14.30
26/04/13,13.75,15.58
31/05/13,14.06,14.54
28/06/13,13.75,14.03
26/07/13,14.34,14.28
30/08/13,13.77,13.28
27/09/13,14.17,14.40
25/10/13,14.71,13.79
29/11/13,15.00,14.66
27/12/13,15.24,14.74
31/01/14,14.77,13.73
28/02/14,15.38,13.46
28/03/14,15.24,13.12
25/04/14,15.00,12.88
30/05/14,15.45,13.23
27/06/14,15.61,13.77
25/07/14,15.57,13.93
29/08/14,15.65,13.68
26/09/14,15.43,14.17
31/10/14,15.60,13.93
28/11/14,16.19,14.62
26/12/14,16.55,14.39
30/01/15,16.34,14.07
27/02/15,17.26,14.99
27/03/15,16.83,15.17
24/04/15,17.23,15.70
29/05/15,16.93,16.05
26/06/15,16.78,15.77
31/07/15,16.64,15.46
28/08/15,15.74,14.26
25/09/15,15.31,13.35
30/10/15,16.53,14.32
27/11/15,16.64,14.64
25/12/15,16.39,13.93
29/01/16,15.71,13.16
26/02/16,15.79,12.26
25/03/16,16.52,12.89
29/04/16,16.71,12.76
27/05/16,16.80,13.20
24/06/16,16.17,11.94
29/07/16,17.11,13.40
26/08/16,16.99,13.12
30/09/16,16.81,13.13
28/10/16,16.41,13.80
25/11/16,16.98,14.54
30/12/16,16.97,14.67
27/01/17,17.25,14.68
24/02/17,17.81,14.38
31/03/17,17.64,13.72
28/04/17,17.64,13.81
26/05/17,17.70,14.17
30/06/17,17.57,14.25
28/07/17,17.79,14.18
25/08/17,17.62,13.59
29/09/17,18.01,14.16
27/10/17,18.29,14.95
24/11/17,18.31,14.74
29/12/17,18.47,14.86
26/01/18,18.89,15.23
23/02/18,17.50,13.89
30/03/18,16.62,13.44
27/04/18,16.55,13.51
25/05/18,16.64,13.45
29/06/18,16.44,12.90
27/07/18,16.85,13.14
31/08/18,17.10,12.73
28/09/18,18.12,13.78
26/10/18,15.92,12.56
30/11/18,16.47,13.18
28/12/18,14.96,12.05
25/01/19,16.04,12.43
22/02/19,16.94,13.32
29/03/19,17.03,13.98
26/04/19,17.60,13.95
31/05/19,16.35,12.80
28/06/19,17.33,13.31
26/07/19,17.93,13.48
30/08/19,17.12,12.78
27/09/19,18.02,13.78
25/10/19,18.46,14.48
29/11/19,18.71,14.85
27/12/19,19.60,15.14
31/01/20,19.58,14.73
28/02/20,17.89,13.34
27/03/20,15.46,12.77
24/04/20,19.65,13.24
29/05/20,22.56,16.45
26/06/20,22.02,17.99
31/07/20,23.09,17.57
28/08/20,23.93,18.77
25/09/20,21.74,17.73
30/10/20,21.25,17.80
27/11/20,22.70,18.81
25/12/20,23.66,18.89
29/01/21,22.08,18.12
26/02/21,22.03,18.16
26/03/21,22.42,18.32
30/04/21,22.38,17.28
28/05/21,21.83,17.11
25/06/21,21.83,16.68
30/07/21,21.89,15.61
27/08/21,22.00,15.18
24/09/21,21.30,16.02
29/10/21,21.73,15.20
26/11/21,21.43,14.85
31/12/21,21.87,14.57
28/01/22,20.17,13.55
25/02/22,20.12,13.22
25/03/22,20.79,13.89
29/04/22,18.26,13.26
27/05/22,18.36,12.94
24/06/22,17.31,12.78
29/07/22,17.99,13.21
